잠실베스트동물병원 수술재활센터,서울,22037975,서울특별시 송파구 석촌동 2-9번지 금보 2층,"서울특별시 송파구 삼학사로 88, 금보 2층 (석촌동)",
행복한 우리아이 동물병원,서울,24247552,서울특별시 송파구 삼전동 22-6번지 1층,"서울특별시 송파구 석촌호수로 146, 1층 (삼전동)",토요일 09:00~20:30 일요일 휴무 | 금요일 09:00~20:30 일요일 휴무 | 목요일 09:00~20:30 일요일 휴무 | 수요일 09:00~20:30 일요일 휴무 | 화요일 09:00~20:30 일요일 휴무 | 월요일 09:00~20:30 일요일 휴무
마루동물병원,서울,24438898,서울특별시 송파구 거여동 290-3 우토 파크빌딩,"서울특별시 송파구 양산로4길 13, 우토 파크빌딩 (거여동)",평일 09:30~18:30 | 토요일 09:00~14:30 | 공휴일 휴무 | 일요일 휴무
연두동물병원,기타,24550975,,서울특별시 광진구 광나루로 524 (구의동),
오늘동물병원,서울,24697975,서울특별시 성동구 성수동1가 656-968번지 영화빌딩 2층,"서울특별시 성동구 왕십리로 104, 영화빌딩 2층 (성수동1가)",평일 09:00~19:00 점심시간 13:00-14:00 | 토요일 09:00~19:00 점심시간 13:00-14:00 | 일요일 휴무
Dr.주 동물병원,서울,24700030,서울특별시 강동구 둔촌동 517-4번지,"서울특별시 강동구 양재대로 1376 (둔촌동, 광안빌딩)",평일 10:00~18:30 / 점심시간 (12시~1시) | 토요일 10:00~15:00 / 점심시간 (12시~1시) | 일요일 휴무 | 공휴일 휴무
내품에동물병원,기타,24771775,,서울특별시 강동구 천호대로 1120 (길동),평일 10:00~21:00 | 토요일 10:00~21:00 | 일요일 10:00~18:00
디아나동물병원,서울,25219010,서울특별시 서초구 방배동 925-8번지,"서울특별시 서초구 방배로 119, 1층 (방배동)",토요일 10:00~20:00 | 공휴일 10:00~20:00 | 평일 10:00~20:00 | 일요일 휴무 토요일 / 공휴일 정상진료
해뜨는 동물병원 해질녘책방,서울,25366469,서울특별시 서초구 잠원동 58-24 뉴타운,"서울특별시 서초구 신반포로 257, 뉴타운 지하1층 (잠원동)",평일 10:00~19:00 | 토요일 09:30~16:00 | 공휴일 09:30~16:00 | 일요일 휴무
송정동물메디컬센터,서울,26610530,서울특별시 강서구 공항동 28-10,서울특별시 강서구 공항대로 39 (공항동),
푸른들동물병원,서울,26991222,서울특별시 강서구 염창동 246-11번지,"서울특별시 강서구 양천로 663-1, 1층 (염창동)",평일 10:00~19:30 점심시간 12:00~13:00 | 토요일 10:00~18:30 점심시간 12:00~13:00 | 공휴일 10:00~16:00 점심시간 12:00~13:00 | 일요일 휴무
더힐링동물병원,경기,27127582,경기도 고양시 덕양구 오금동 663-1,"경기도 고양시 덕양구 오금1로 143, 자이더빌리지 상가 204호 (오금동)",평일 10:00~19:00 | 공휴일 휴무
조아동물병원,서울,28071616,서울특별시 금천구 독산동 1102-5번지,"서울특별시 금천구 금하로1라길 35, 1층 (독산동)",
도림하나동물병원,서울,28497582,서울특별시 영등포구 도림동 216-2,"서울특별시 영등포구 도영로 31, 1층 (도림동)",평일 10:00~20:00 일요일 휴무 | 토요일 10:00~18:00 점심시간 13:00~14:00
고척원동물의료센터,서울,28567582,서울특별시 구로구 고척동 76-38번지 원메디타운 201호,"서울특별시 구로구 경인로 403, 원메디타운 2층 201호 (고척동)",토요일 10:00~20:00 종료 30분 전 접수 마감 | 평일 10:00~20:00 종료 30분 전 접수 마감 | 주말 10:00~17:00 종료 30분 전 접수 마감 | 공휴일 10:00~17:00 종료 30분 전 접수 마감
온빛동물병원,경기,28988971,경기도 광명시 소하동 1269번지,경기도 광명시 오리로 352 (소하동),"평일 09:00~20:00 ,진료시간(10:00~19:30) | 토요일 09:00~19:00 ,진료시간(10:00~18:00) | 공휴일 09:00~19:00 ,진료시간(10:00~18:00) | 일요일 휴무"
퍼스트동물병원,서울,29117582,서울특별시 성북구 장위동 173-114 래미안장위퍼스트하이,"서울특별시 성북구 한천로 713, 515동 상가 206,207호 (장위동, 래미안장위퍼스트하이)",평일 09:30~18:30 점심시간: 12시 ~ 1시 | 토요일 09:30~17:00 | 일요일 휴무 예약진료 가능 | 공휴일 휴무
